state,universities_total,colleges_registered,colleges_per_lakh_18_23,avg_enrolment_per_college,enrolment_total,enrolment_ug_total,enrolment_pg_total,enrolment_phd_total,enrolment_female,ger_all_total
Andaman and Nicobar Islands,,9,18,808,11427,8251,1517,14,6227,
Andhra Pradesh,47,2602,49,554,1929159,1569050,184942,5583,900420,36.5
Arunachal Pradesh,10,44,25,666,64890,46295,12696,681,29895,36.5
Assam,30,607,15,906,678012,579406,62964,5370,344086,16.9
Bihar,37,1092,7,2088,2622946,2333003,155423,5574,1175486,17.1
Chandigarh,3,26,15,1888,111003,77398,22772,797,55712,64.8
Chhattisgarh,34,917,27,606,656341,502629,87464,1837,357740,19.6
Dadra and Nagar Haveli and Daman and Diu,,19,17,654,12805,9759,848,,6122,11.2
Delhi,30,188,8,1752,1145390,898730,177399,14094,560037,49.0
Goa,3,62,34,680,65415,45533,8382,901,30017,35.8
Gujarat,91,2395,32,537,1797662,1367876,216307,8533,787996,24.0
Haryana,56,1090,33,614,1104532,822563,156172,4169,562386,33.3
Himachal Pradesh,30,349,47,577,319651,260391,33933,2083,172508,43.1
Jammu and Kashmir,16,341,21,633,400423,293096,72107,3802,207469,24.8
Jharkhand,33,366,8,1848,879965,710156,112468,3152,429859,18.6
Karnataka,75,4430,66,413,2436540,1906300,260616,11193,1178536,36.2
Kerala,25,1463,46,594,1304445,1016386,172576,9134,749873,41.3
Ladakh,2,6,16,514,4440,3290,473,18,2869,11.5
Lakshadweep,,,,,88,88,,,74,1.1
Madhya Pradesh,77,2742,28,808,2800165,2096324,440391,7854,1294257,28.9
Maharashtra,74,4692,36,685,4577843,3498728,587198,17832,2035012,35.3
Manipur,10,108,29,1013,130388,112557,10468,1448,64154,35.4
Meghalaya,11,77,20,909,96453,77443,14105,789,52865,25.4
Mizoram,3,40,28,669,46771,33154,5608,1199,23580,32.3
Nagaland,6,69,25,533,51223,39214,8454,620,27666,18.8
Odisha,37,1300,27,576,1073879,782155,119698,4218,492712,22.1
Puducherry,4,82,53,760,94643,62081,26592,603,49822,61.5
Punjab,40,1044,33,494,858744,613561,110078,10325,424128,27.4
Rajasthan,90,3934,42,513,2689340,2102794,310263,13828,1259057,28.6
Sikkim,9,24,27,712,33761,24806,5986,652,17487,38.6
Tamil Nadu,62,2829,40,808,3309327,2491822,464086,28867,1611215,47.0
Telangana,31,2083,52,611,1596680,1272323,207082,6967,803327,40.0
Tripura,5,54,11,1387,100551,82163,11049,459,47013,20.7
Uttar Pradesh,91,8375,29,761,6973424,5779098,760115,21713,3304106,24.1
Uttarakhand,38,500,37,646,567704,433822,94157,4473,281555,41.8
West Bengal,58,1514,15,1189,2722151,2186988,303364,13786,1346524,26.3
All India,1168,45473,30,709,43268181,34139233,5217753,212568,20691792,28.4
