state,ger_all_m,ger_all_f,ger_all_total,ger_sc_m,ger_sc_f,ger_sc_total,ger_st_m,ger_st_f,ger_st_total
Andhra Pradesh,37.7,35.2,36.5,35.0,33.9,34.5,35.7,31.5,33.6
Arunachal Pradesh,38.4,34.5,36.5,,,,42.2,37.8,39.9
Assam,16.2,17.6,16.9,18.2,19.5,18.8,25.4,26.3,25.8
Bihar,17.8,16.3,17.1,19.0,13.6,16.4,38.0,31.0,34.6
Chandigarh,56.8,75.4,64.8,53.7,52.9,53.4,,,
Chhattisgarh,17.6,21.6,19.6,19.1,21.7,20.3,10.8,15.3,13.1
Delhi,48.3,49.7,49.0,36.6,35.6,36.1,,,
Goa,36.0,35.5,35.8,45.4,33.5,39.5,23.7,31.6,27.6
Gujarat,25.2,22.7,24.0,33.6,30.8,32.3,19.9,21.0,20.4
Haryana,30.3,37.0,33.3,24.2,29.2,26.5,,,
Himachal Pradesh,37.3,49.7,43.1,29.4,39.9,34.4,38.7,50.6,44.5
Jammu and Kashmir,22.6,27.2,24.8,18.6,22.5,20.4,19.9,17.8,18.9
Jharkhand,18.6,18.7,18.6,15.8,13.7,14.8,13.1,14.7,13.9
Karnataka,36.1,36.3,36.2,28.8,26.8,27.8,26.4,25.0,25.8
Kerala,34.1,49.0,41.3,20.4,36.8,28.3,24.0,33.8,28.9
Ladakh,7.5,16.4,11.5,22.6,335.4,42.3,10.1,17.0,13.6
Lakshadweep,0.3,1.9,1.1,,,,0.4,2.0,1.2
Madhya Pradesh,29.7,28.0,28.9,27.3,26.7,27.0,17.8,17.2,17.5
Maharashtra,37.1,33.3,35.3,37.6,34.9,36.3,19.4,15.2,17.3
Manipur,35.3,35.5,35.4,60.3,61.0,60.6,22.0,24.2,23.0
Meghalaya,22.7,28.1,25.4,101.9,119.4,110.0,20.2,26.4,23.3
Mizoram,31.4,33.2,32.3,206.5,304.8,241.1,31.8,33.3,32.5
Nagaland,16.5,21.2,18.8,,,,17.2,21.5,19.3
Odisha,23.5,20.6,22.1,25.2,19.9,22.6,16.7,14.3,15.5
Puducherry,61.0,62.1,61.5,43.0,43.4,43.2,,,
Punjab,25.2,30.1,27.4,16.2,22.8,19.2,,,
Rajasthan,29.0,28.1,28.6,27.2,26.1,26.7,28.9,27.6,28.2
Sikkim,35.1,42.5,38.6,46.6,39.1,42.8,29.6,42.1,35.8
Tamil Nadu,46.8,47.3,47.0,38.4,40.4,39.4,50.2,37.6,43.9
Telangana,38.5,41.6,40.0,35.6,42.9,39.2,39.1,36.9,38.0
Dadra and Nagar Haveli and Daman and Diu,8.6,16.6,11.2,24.8,31.7,27.8,6.9,8.1,7.5
Tripura,21.9,19.5,20.7,21.2,18.8,20.0,17.3,14.6,15.9
Uttar Pradesh,23.9,24.4,24.1,21.0,22.6,21.8,41.4,37.4,39.4
Uttarakhand,40.1,43.7,41.8,29.1,35.6,32.2,42.1,42.0,42.1
All India,28.3,28.5,28.4,25.8,26.0,25.9,21.4,20.9,21.2
West Bengal,25.9,26.8,26.3,23.4,22.4,22.9,15.0,15.7,15.3
