state,central_univ,central_open_univ,inst_national_importance,state_public_univ,inst_under_state_legislature_act,state_open_univ,state_private_univ,state_private_open_univ,deemed_univ_govt,deemed_univ_govt_aided,deemed_univ_private,grand_total
Andhra Pradesh,3,,10,24,1,,5,,,,4,47
Arunachal Pradesh,1,,1,,,,6,1,1,,,10
Assam,2,,5,15,,1,6,,1,,,30
Bihar,4,,6,17,1,1,7,,1,,,37
Chandigarh,,,1,1,,,,,1,,,3
Chhattisgarh,1,,4,14,,1,14,,,,,34
Delhi,6,1,6,9,,,,,6,1,1,30
Goa,,,2,1,,,,,,,,3
Gujarat,1,,9,26,,1,51,,1,1,1,91
Haryana,1,,5,20,,,24,,3,,3,56
Himachal Pradesh,1,,5,7,,,17,,,,,30
Jammu and Kashmir,2,,4,9,1,,,,,,,16
Jharkhand,1,,5,11,,,15,,,,1,33
Karnataka,1,,6,33,,1,20,,2,,12,75
Kerala,1,,6,14,,1,,,2,,1,25
Ladakh,,,,1,,,,,1,,,2
Madhya Pradesh,2,,10,23,,1,40,,1,,,77
Maharashtra,1,,7,23,,1,21,,7,2,12,74
Manipur,3,,2,3,,,2,,,,,10
Meghalaya,1,,2,,,,8,,,,,11
Mizoram,1,,1,,,,1,,,,,3
Nagaland,1,,1,,,,4,,,,,6
Odisha,1,,5,19,,1,8,,,,3,37
Puducherry,1,,2,,,,,,,,1,4
Punjab,1,,6,12,,1,18,,1,,1,40
Rajasthan,1,,5,26,1,1,49,,,,7,90
Sikkim,1,,1,1,,,6,,,,,9
Tamil Nadu,2,,7,21,,1,3,,,2,26,62
Telangana,3,,4,15,1,1,4,,1,,2,31
Tripura,1,,2,1,,,1,,,,,5
Uttar Pradesh,6,,11,32,1,1,31,,2,3,4,91
Uttarakhand,1,,4,10,,1,19,,1,1,1,38
All India,53,1,153,423,6,16,391,1,33,10,81,1168
West Bengal,1,,8,35,,1,11,,1,,1,58
