state,pop_18_23_male,pop_18_23_female,pop_18_23_total
Andaman and Nicobar Islands,26323,24200,50523
Andhra Pradesh,2729000,2556000,5285000
Arunachal Pradesh,91153,86527,177680
Assam,2063000,1955000,4019000
Bihar,8143000,7232000,15374000
Chandigarh,97388,73842,171229
Chhattisgarh,1695000,1657000,3352000
Delhi,1214000,1127000,2339000
Goa,98214,84516,182730
Gujarat,3997000,3478000,7477000
Haryana,1790000,1521000,3312000
Himachal Pradesh,396000,347000,742000
Jammu and Kashmir,852000,762000,1615000
Jharkhand,2424000,2300000,4724000
Karnataka,3481000,3248000,6728000
Kerala,1624000,1531000,3155000
Ladakh,21041,17456,38497
Lakshadweep,4175,3823,7998
Madhya Pradesh,5066000,4623000,9690000
Maharashtra,6845000,6118000,12965000
Manipur,187566,180755,368321
Meghalaya,191819,188450,380269
Mizoram,73794,71128,144922
Nagaland,142383,130694,273077
Odisha,2475000,2391000,4867000
Puducherry,73522,80260,153781
Punjab,1727000,1408000,3135000
Rajasthan,4937000,4478000,9415000
Sikkim,46306,41176,87482
Tamil Nadu,3627000,3406000,7034000
Telangana,2058000,1932000,3993000
Dadra and Nagar Haveli and Daman and Diu,77338,36904,114242
Tripura,243996,241270,485265
Uttar Pradesh,15347000,13552000,28901000
Uttarakhand,715000,644000,1357000
West Bengal,5305000,5032000,10337000
All India,79885016,72559000,152452016
