state,colleges_registered,colleges_per_lakh_pop_18_23,avg_enrolment_per_college
Andaman and Nicobar Islands,9,18,808
Andhra Pradesh,2602,49,554
Arunachal Pradesh,44,25,666
Assam,607,15,906
Bihar,1092,7,2088
Chandigarh,26,15,1888
Chhattisgarh,917,27,606
Delhi,188,8,1752
Goa,62,34,680
Gujarat,2395,32,537
Haryana,1090,33,614
Himachal Pradesh,349,47,577
Jammu and Kashmir,341,21,633
Jharkhand,366,8,1848
Karnataka,4430,66,413
Kerala,1463,46,594
Ladakh,6,16,514
Lakshadweep,,,
Madhya Pradesh,2742,28,808
Maharashtra,4692,36,685
Manipur,108,29,1013
Meghalaya,77,20,909
Mizoram,40,28,669
Nagaland,69,25,533
Odisha,1300,27,576
Puducherry,82,53,760
Punjab,1044,33,494
Rajasthan,3934,42,513
Sikkim,24,27,712
Tamil Nadu,2829,40,808
Telangana,2083,52,611
Dadra and Nagar Haveli and Daman and Diu,19,17,654
Tripura,54,11,1387
Uttar Pradesh,8375,29,761
Uttarakhand,500,37,646
All India,45473,30,709
West Bengal,1514,15,1189
